2019-09-27 14:28:56,030 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-27 15:59:49,474 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:00:14,429 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:00:19,469 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:00:44,460 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:00:49,489 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:01:14,433 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:01:19,468 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:01:44,455 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:01:49,475 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:02:14,444 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:02:19,463 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:02:44,518 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:02:49,464 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:03:14,506 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:03:19,476 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:03:44,647 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:03:49,467 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:04:19,752 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:04:49,516 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:05:19,687 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:05:49,754 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 16:06:19,673 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:12:15,853 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-27 17:12:15,863 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-09-27 17:12:15,863 INFO  [Timer-0] - [analytics] - 2977.62 ,2945.53 ,2987.31
2019-09-27 17:12:15,863 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:12:45,533 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:13:15,561 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:13:45,491 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:14:15,624 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:14:45,598 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:15:15,443 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:15:45,414 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:16:15,409 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:16:45,461 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:17:15,526 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:17:45,485 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:18:15,591 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:18:45,538 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:19:15,535 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 17:19:45,629 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-28 04:47:31,541 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-28 04:47:31,541 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-09-28 04:47:31,541 INFO  [Timer-0] - [analytics] - 2977.62 ,2945.53 ,2987.31
2019-09-28 09:16:29,457 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-28 09:16:29,457 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-09-28 09:16:29,457 INFO  [Timer-0] - [analytics] - 2977.62 ,2945.53 ,2987.31
2019-09-28 10:00:34,444 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-28 10:00:34,444 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-09-28 10:00:34,444 INFO  [Timer-0] - [analytics] - 2977.62 ,2945.53 ,2987.31
2019-09-28 10:22:20,547 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-28 10:22:20,547 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-09-28 10:22:20,547 INFO  [Timer-0] - [analytics] - 2977.62 ,2945.53 ,2987.31
2019-10-02 09:52:44,290 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-10-02 09:52:44,291 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-10-02 09:52:44,291 INFO  [Timer-0] - [analytics] - 2940.25 ,2888.15 ,2924.78
2019-10-02 09:52:44,292 INFO  [Timer-0] - [analytics] - 2889.95,2889.95,2889.95
2019-10-02 09:53:13,939 INFO  [Timer-0] - [analytics] - 2889.95,2889.14,2889.14
2019-10-02 09:53:43,967 INFO  [Timer-0] - [analytics] - 2889.32,2889.14,2889.32
2019-10-02 09:54:13,925 INFO  [Timer-0] - [analytics] - 2890.53,2889.32,2890.53
2019-10-02 09:54:43,932 INFO  [Timer-0] - [analytics] - 2892.21,2890.53,2892.21
2019-10-02 09:55:13,954 INFO  [Timer-0] - [analytics] - 2893.03,2892.21,2893.03
2019-10-02 09:55:43,923 INFO  [Timer-0] - [analytics] - 2893.37,2893.03,2893.37
2019-10-02 09:56:13,892 INFO  [Timer-0] - [analytics] - 2893.61,2893.37,2893.61
2019-10-02 09:56:43,888 INFO  [Timer-0] - [analytics] - 2894.71,2893.61,2894.71
2019-10-02 09:57:13,901 INFO  [Timer-0] - [analytics] - 2894.91,2894.71,2894.91
2019-10-02 09:57:44,009 INFO  [Timer-0] - [analytics] - 2894.91,2894.44,2894.44
2019-10-02 09:58:13,972 INFO  [Timer-0] - [analytics] - 2894.44,2893.63,2893.63
2019-10-02 09:58:43,992 INFO  [Timer-0] - [analytics] - 2893.97,2893.63,2893.97
2019-10-02 09:59:13,959 INFO  [Timer-0] - [analytics] - 2893.97,2893.17,2893.17
